SIM1,SI,SIP1
0.0215856392522354,0.00651456873136303,0.00733992322163908
0.00651456873136303,0.00733992322163908,0.0104258939445537
0.00733992322163908,0.0104258939445537,0.00874511997840638
0.0104258939445537,0.00874511997840638,0.00531567761273975
0.00874511997840638,0.00531567761273975,0.00553505026774721
0.00531567761273975,0.00553505026774721,0.00849496776395554
0.00553505026774721,0.00849496776395554,0.0129451500070187
0.00849496776395554,0.0129451500070187,0.013670090597692
0,0.0015037508009599,0
0.0015037508009599,0,0
0,0,0.00320074398418903
0,0.00320074398418903,0.00558146679711882
0.00320074398418903,0.00558146679711882,0.00359519131524315
0.00558146679711882,0.00359519131524315,0.00471191918390492
0.00359519131524315,0.00471191918390492,0.00878607016572487
0.00471191918390492,0.00878607016572487,0.00944574237021987
0.00878607016572487,0.00944574237021987,0.01351021491996
0.00944574237021987,0.01351021491996,0.0131023850214896
0.01351021491996,0.0131023850214896,0.0187479221186688
0.0131023850214896,0.0187479221186688,0.024826743985796
0.0187479221186688,0.024826743985796,0.0325762803562119
0.024826743985796,0.0325762803562119,0.0410971341729193
0.0325762803562119,0.0410971341729193,0.0522364910875875
0.0410971341729193,0.0522364910875875,0.0545249720368481
0.0522364910875875,0.0545249720368481,0.0492305330785461
0.0545249720368481,0.0492305330785461,0.0651340522421031
0.0492305330785461,0.0651340522421031,0.0701115696715846
0.0651340522421031,0.0701115696715846,0.0764201734129803
0.0701115696715846,0.0764201734129803,0.104871620078586
0.0764201734129803,0.104871620078586,0.140723173041169
0.104871620078586,0.140723173041169,0.170017243445109
0.140723173041169,0.170017243445109,0.187407428797549
0.170017243445109,0.187407428797549,0.194161785535227
0.187407428797549,0.194161785535227,0.191209973768453
0.0197387285420924,0.0134913339470779,0.0168152615962006
0.0134913339470779,0.0168152615962006,0.0212750910711704
0.0168152615962006,0.0212750910711704,0.0256645148778376
0.0212750910711704,0.0256645148778376,0.025844854415268
0.0256645148778376,0.025844854415268,0.0295162060094138
0.025844854415268,0.0295162060094138,0.0232715758986577
0.0295162060094138,0.0232715758986577,0.0037252311345281
0.0232715758986577,0.0037252311345281,0.00886151825868327
0.0037252311345281,0.00886151825868327,0.0127686109075907
0.00886151825868327,0.0127686109075907,0.0157257295306452
0.0127686109075907,0.0157257295306452,0.0165493915468107
0.0157257295306452,0.0165493915468107,0.0179578155785844
0.0165493915468107,0.0179578155785844,0.0173947212553337
0.0179578155785844,0.0173947212553337,0.0190708707546354
0.0173947212553337,0.0190708707546354,0.0231384791121738
0.0190708707546354,0.0231384791121738,0.0179158715080965
0.0231384791121738,0.0179158715080965,0.014306736080807
0.0179158715080965,0.014306736080807,0.0169078815974121
0.014306736080807,0.0169078815974121,0.0195297431795238
0.0169078815974121,0.0195297431795238,0.0214225589913027
0.0195297431795238,0.0214225589913027,0.0299081161932052
0.0214225589913027,0.0299081161932052,0.0240403119830219
0.0299081161932052,0.0240403119830219,0.0370425754132378
0,0.00173002525657402,0.00343559608697635
0.00173002525657402,0.00343559608697635,0.00561240525492376
0.00343559608697635,0.00561240525492376,0.00776460581428859
0.00561240525492376,0.00776460581428859,0.00680161842912921
0.00776460581428859,0.00680161842912921,0.00944827160119141
0.00680161842912921,0.00944827160119141,0.0116341121093817
0.00944827160119141,0.0116341121093817,0.0113817305823279
0.0116341121093817,0.0113817305823279,0.0127753923950969
0.0113817305823279,0.0127753923950969,0.0187613795299893
0.0127753923950969,0.0187613795299893,0.0229437071744742
0.0187613795299893,0.0229437071744742,0
0.0229437071744742,0,0
0,0,0.0153191680150178
0,0.0153191680150178,0.00549406478735713
0.0153191680150178,0.00549406478735713,0.00698190364689497
0.00549406478735713,0.00698190364689497,0.0214964155471294
